fips,stcd,district,pop2010
9,CT,099,23926
9,CT,100,23554
9,CT,101,23252
9,CT,102,22444
9,CT,103,22818
9,CT,104,23493
9,CT,105,24797
9,CT,106,24049
9,CT,107,23785
9,CT,108,22451
9,CT,109,25451
9,CT,110,23492
9,CT,111,24638
9,CT,112,22990
9,CT,113,22936
9,CT,114,22623
9,CT,115,22515
9,CT,116,24841
9,CT,117,23367
9,CT,118,22475
9,CT,119,21898
9,CT,120,22449
9,CT,121,22957
9,CT,122,22601
9,CT,123,24985
9,CT,124,23959
9,CT,125,22200
9,CT,126,24578
9,CT,127,24726
9,CT,128,22838
9,CT,129,24361
9,CT,130,23767
9,CT,131,25985
9,CT,132,24317
9,CT,133,24556
9,CT,134,23832
9,CT,135,23691
9,CT,136,24123
9,CT,137,23904
9,CT,138,24372
9,CT,139,24449
9,CT,140,23568
9,CT,141,24805
9,CT,142,24434
9,CT,143,22986
9,CT,144,23558
9,CT,145,22887
9,CT,146,25985
9,CT,147,23210
9,CT,148,23815
9,CT,149,22283
9,CT,150,22518
9,CT,151,21796
10,DE,001,17648
10,DE,002,19571
10,DE,003,19215
10,DE,004,18103
10,DE,005,21154
10,DE,006,19877
10,DE,007,17251
10,DE,008,34905
10,DE,009,28290
10,DE,010,20187
10,DE,011,18472
10,DE,012,19321
10,DE,013,20700
10,DE,014,25997
10,DE,015,27756
10,DE,016,19396
10,DE,017,19739
10,DE,018,19810
10,DE,019,19301
10,DE,020,19614
10,DE,021,18919
10,DE,022,18853
10,DE,023,22367
10,DE,024,19060
10,DE,025,20925
10,DE,026,21143
10,DE,027,20226
10,DE,028,22917
10,DE,029,27839
10,DE,030,22102
10,DE,031,20814
10,DE,032,20481
10,DE,033,24737
10,DE,034,23514
10,DE,035,22751
10,DE,036,26484
10,DE,037,24694
10,DE,038,25569
10,DE,039,19663
10,DE,040,22338
10,DE,041,26231
11,DC,999,601723
12,FL,001,159402
12,FL,002,139453
12,FL,003,126253
12,FL,004,144198
12,FL,005,154014
12,FL,006,147936
12,FL,007,169309
12,FL,008,152934
12,FL,009,147197
12,FL,010,151214
12,FL,011,163223
12,FL,012,159354
12,FL,013,195431
12,FL,014,134417
12,FL,015,124511
12,FL,016,140428
12,FL,017,161943
12,FL,018,161190
12,FL,019,175628
12,FL,020,201953
12,FL,021,145063
12,FL,022,176739
12,FL,023,142648
12,FL,024,166317
12,FL,025,179031
12,FL,026,165010
12,FL,027,131755
12,FL,028,154175
12,FL,029,160290
12,FL,030,180594
12,FL,031,138215
12,FL,032,177523
12,FL,033,196662
12,FL,034,144119
12,FL,035,154735
12,FL,036,157126
12,FL,037,135554
12,FL,038,162248
12,FL,039,132191
